__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-04-13,US,United States,customer,Customer Service,TOTAL,63.68
HiringLabSectoralPosting,2020-04-14,US,United States,customer,Customer Service,TOTAL,63.34
HiringLabSectoralPosting,2020-04-15,US,United States,customer,Customer Service,TOTAL,63.03
HiringLabSectoralPosting,2020-04-16,US,United States,customer,Customer Service,TOTAL,62.62
HiringLabSectoralPosting,2020-04-17,US,United States,customer,Customer Service,TOTAL,62.07
HiringLabSectoralPosting,2020-04-18,US,United States,customer,Customer Service,TOTAL,61.4
HiringLabSectoralPosting,2020-04-19,US,United States,customer,Customer Service,TOTAL,60.69
HiringLabSectoralPosting,2020-04-20,US,United States,customer,Customer Service,TOTAL,60.13
HiringLabSectoralPosting,2020-04-21,US,United States,customer,Customer Service,TOTAL,59.6
HiringLabSectoralPosting,2020-04-22,US,United States,customer,Customer Service,TOTAL,59.02
HiringLabSectoralPosting,2020-04-23,US,United States,customer,Customer Service,TOTAL,58.55
HiringLabSectoralPosting,2020-04-24,US,United States,customer,Customer Service,TOTAL,58.21
HiringLabSectoralPosting,2020-04-25,US,United States,customer,Customer Service,TOTAL,57.93
HiringLabSectoralPosting,2020-04-26,US,United States,customer,Customer Service,TOTAL,57.7
HiringLabSectoralPosting,2020-04-27,US,United States,customer,Customer Service,TOTAL,57.46
HiringLabSectoralPosting,2020-04-28,US,United States,customer,Customer Service,TOTAL,57.29
HiringLabSectoralPosting,2020-04-29,US,United States,customer,Customer Service,TOTAL,57.07
HiringLabSectoralPosting,2020-04-30,US,United States,customer,Customer Service,TOTAL,56.81
HiringLabSectoralPosting,2020-05-01,US,United States,customer,Customer Service,TOTAL,56.55
HiringLabSectoralPosting,2020-05-02,US,United States,customer,Customer Service,TOTAL,56.35
HiringLabSectoralPosting,2020-05-03,US,United States,customer,Customer Service,TOTAL,56.16
HiringLabSectoralPosting,2020-05-04,US,United States,customer,Customer Service,TOTAL,55.91
